restaurant,link,michelin guide,address,price,cuisine,michelin guide point of view,facilities & services,contact number,website,opening hours,michelin stars,location_lat,location_long
Dattilo,https://guide.michelin.com/en/calabria/strongoli/restaurant/dattilo,MICHELIN GUIDE ITALIA,"contrada Dattilo, Strongoli, 88816, Italy",75 - 120 EUR,Creative,"Although this agriturismo nestled in the countryside made its name through its organic wine and olive oil, for the past few years it has also been turning its attention to its restaurant which serves top - quality, modern and creative cuisine and where the friendly and hospitable Ceraudo family offers a warm welcome to all its guests. The guestrooms are simple and decorated in an attractive, rustic style, but the real surprise is the swimming pool shaded by a 1 000 - year - old olive tree.","
T
Air conditioning
V
American Express credit card
Booking essential
f
Car park
Credit card / Debit card accepted
É
Garden or park
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
Take away
X
Visa credit card
€
With bedrooms
Show Less
",+39 0962 865613,https://www.dattilo.it/,"Closed: 25 November-31 December, 1 January-31 March, Monday, Tuesday, Wednesday, lunch: Thursday-Friday, dinner: Sunday",1,39.2689,17.08671
Cielo,https://guide.michelin.com/en/puglia/ostuni/restaurant/cielo,MICHELIN GUIDE ITALIA,"via Scipione Petrarolo 7, Ostuni, 72017, Italy",70 - 160 EUR,"Creative, Contemporary","Whether you come here to enjoy a romantic summer dinner among the citrus trees in the small inner courtyard or in the white dining room crowned with a vaulted ceiling, you’ll be charmed by this restaurant. The cuisine is prepared using top - quality produce from the region, with many ingredients showcasing the best of Puglia and the chef’s creative signature evident in the dishes.","
T
Air conditioning
V
American Express credit card
Booking essential
Credit card / Debit card accepted
Show More
",+39 0831 305925,https://www.lasommita.it/,Nearby Restaurants,1,40.7342943,17.5779612
Due Camini,https://guide.michelin.com/en/puglia/savelletri/restaurant/due-camini,MICHELIN GUIDE ITALIA,"contrada Masciola, Savelletri, 72015, Italy",140 - 200 EUR,Modern Cuisine,"Borgo Egnazia’s gourmet restaurant Due Camini provides an elegant setting for Mediterranean traditions and contemporary creativity. Here, the dishes are full of the flavours of bygone days yet reinterpreted in modern style by chef Domingo Schingaro.","
T
Air conditioning
V
American Express credit card
Booking essential
f
Car park
Credit card / Debit card accepted
M
Diners Club credit card
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
X
Visa credit card
a
Wheelchair access
€
With bedrooms
Show Less
",+39 080 225 5351,https://www.ristoranteduecamini.it/,"Closed: 1 January-15 March, 1 November-31 December, lunch: Monday, Tuesday, lunch: Wednesday-Sunday",1,40.8730304,17.4089613
Abbruzzino,https://guide.michelin.com/en/calabria/catanzaro/restaurant/abbruzzino,MICHELIN GUIDE ITALIA,"via Fiume Savuto, località Santo Janni, Catanzaro, 88100, Italy",75 - 110 EUR,Modern Cuisine,"The elegant and welcoming Abbruzzino is still a good choice for anyone looking for a flavour of this region, showcased through its cuisine and the chef’s personal memories, reinterpreted with a modern twist. At the helm in the kitchen, Luca (the son of owner Antonio) offers dishes which perfectly combine creativity with Calabrian traditions, often brought to the table by the chefs themselves.","
T
Air conditioning
V
American Express credit card
Booking essential - lunch
f
Car park
Credit card / Debit card accepted
É
Garden or park
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
N
Particularly interesting wine list
X
Visa credit card
Show Less
",+39 0961 799008,https://www.abbruzzino.it/,"Closed: 10 January-6 February, Monday, Tuesday, lunch: Wednesday-Friday, dinner: Sunday",1,38.9076353,16.5960465
Hyle,https://guide.michelin.com/en/calabria/san-giovanni-in-fiore/restaurant/hyle,MICHELIN GUIDE ITALIA,"contrada Torre Garga S.S. 107, San Giovanni in Fiore, 87055, Italy",40 - 110 EUR,Modern Cuisine,"This restaurant takes guests on a culinary voyage from the hills overlooking the sea to the high mountain peaks, through a fertile region which boasts a rich diversity of ingredients. Enhanced by the experience of chef Antonio Biafora, the restaurant’s focus is on top-quality local products sourced from local farmers and growers, creating a chain which is both economic and socially responsible. In addition to its à la carte options, guests also have the choice of two tasting menus, the regional character of which is emphasised by their Calabrian names (Pùzaly and Chjùbica).","
T
Air conditioning
V
American Express credit card
Credit card / Debit card accepted
M
Diners Club credit card
}
Mastercard credit card
E
Non-smoking restaurant
X
Visa credit card
a
Wheelchair access
€
With bedrooms
Show Less
",+39 0984 970722,http://www.hyleristorante.it,"Closed: lunch: Monday, Tuesday, Wednesday, lunch: Thursday-Friday, dinner: Sunday",1,39.2529756,16.6973766
Gambero Rosso,https://guide.michelin.com/en/calabria/marina-di-gioiosa-ionica/restaurant/gambero-rosso,MICHELIN GUIDE ITALIA,"via Montezemolo 65, Marina di Gioiosa Ionica, 89046, Italy",58 - 130 EUR,Seafood,"Fish lovers will enjoy this restaurant, which is one of the best in the region: the raw fish dishes attract customers from all over Calabria. The fresh pasta dishes are also excellent, while the main courses combine fish and seafood with locally grown vegetables. Fruit, almonds and liquorice are used in some of the freshly made desserts.","
T
Air conditioning
V
American Express credit card
Credit card / Debit card accepted
M
Diners Club credit card
}
Mastercard credit card
E
Non-smoking restaurant
N
Particularly interesting wine list
{
Private dining room
X
Visa credit card
Show Less
",+39 0964 415806,https://www.gamberorosso.net/,"Closed: 10-30 January, Monday",1,38.2987844,16.3270564
Angelo Sabatelli,https://guide.michelin.com/en/puglia/putignano/restaurant/angelo-sabatelli,MICHELIN GUIDE ITALIA,"via Santa Chiara 1, Putignano, 70017, Italy",75 - 160 EUR,Modern Cuisine,"Having recently moved to the historic centre, this chef seems to have discovered new ways to delight and pamper his guests. The dining room is elegant and traditional, yet also contemporary in style, while the skilfully prepared cuisine showcases local produce, with the occasional added Asian flavour.","
T
Air conditioning
V
American Express credit card
Booking essential
Credit card / Debit card accepted
M
Diners Club credit card
}
Mastercard credit card
E
Non-smoking restaurant
N
Particularly interesting wine list
X
Visa credit card
a
Wheelchair access
Show Less
",+39 080 405 2733,https://www.angelosabatelliristorante.com/,"Closed: 3-17 January, Monday, dinner: Sunday",1,40.85183,17.121294
Pashà,https://guide.michelin.com/en/puglia/conversano/restaurant/pasha,MICHELIN GUIDE ITALIA,"via Morgantini 2, Conversano, 70014, Italy",65 - 150 EUR,"Modern Cuisine, Regional Cuisine","This famous restaurant has moved from the historic premises on Piazza Castello (where it first opened 18 years ago) to a new location in one of the most important historic buildings in the town – the Seminario Vescovile (Bishop’s Seminary). The austere, majestic exterior contrasts with the contemporary elegance of the dining room, while the cuisine continues to focus on dishes firmly rooted in the region, albeit with the occasional modern twist.","
T
Air conditioning
V
American Express credit card
Booking essential
Credit card / Debit card accepted
M
Diners Club credit card
É
Garden or park
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
N
Particularly interesting wine list
X
Visa credit card
a
Wheelchair access
Show Less
",+39 080 495 1079,https://www.ristorantepasha.com/,"Closed: 25-30 November, 7 January-10 February, Tuesday, lunch: Wednesday, dinner: Sunday",1,40.9683956,17.1137706
Restaurant 360,https://guide.michelin.com/en/dubrovnik-neretva/dubrovnik/restaurant/360%C2%BA,MICHELIN GUIDE CROATIA,"Sv. Dominika B.B., Dubrovnik, 20000, Croatia",560 - 980 HRK,Modern Cuisine,"A magical setting, starting with the entrance through Dubrovnik’s imposing city walls. From here, you’re welcomed with real professionalism and then accompanied – if the weather allows – to the terrace, where the name of the restaurant suddenly becomes clear – the view from here extends for 360°, taking in the rooftops of this exquisite town, the tourist port and offering glimpses of the coast. The young and dynamic staff are happy to provide information on the ingredients and composition of the elaborate, expertly prepared and beautifully presented dishes, as well as on the wines. The perfect choice for an enchanting, possibly romantic and certainly gourmet, evening.","
T
Air conditioning
V
American Express credit card
Credit card / Debit card accepted
M
Diners Club credit card
e
Great view
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
N
Particularly interesting wine list
{
Private dining room
X
Visa credit card
Show Less
",+385 20 322 222,https://www.360dubrovnik.com/,"Closed: 25 November-1 March, Monday, lunch: Tuesday-Sunday",1,42.6410712,18.1106418
Luigi Lepore,https://guide.michelin.com/en/calabria/lamezia-terme/restaurant/luigi-lepore,MICHELIN GUIDE ITALIA,"via Ubaldo de' Medici 50, Lamezia Terme, 88046, Italy",55 - 75 EUR,Modern Cuisine,"A small gem of a restaurant in a 19C palazzo in the centre of Lamezia, where the young chef delights guests with contemporary dishes showcasing the produce of Calabria. Two tasting menus (Origini and A Mano Libera) allow guests to appreciate Luigi Lepore’s extraordinary cuisine to the full. Diners are warmly welcomed by the chef’s charming sister, who oversees the front of house.","
T
Air conditioning
V
American Express credit card
Booking essential
Credit card / Debit card accepted
}
Mastercard credit card
E
Non-smoking restaurant
X
Visa credit card
a
Wheelchair access
Show Less
",+39 0968 407639,http://www.luigilepore.it,"Closed: Monday, lunch: Tuesday-Saturday, dinner: Sunday",1,38.9645069,16.3021451
Qafiz,https://guide.michelin.com/en/calabria/santa-cristina-d-aspromonte/restaurant/qafiz,MICHELIN GUIDE ITALIA,"località Calabretto, Santa Cristina d'Aspromonte, 89056, Italy",90 - 120 EUR,Modern Cuisine,"This restaurant boasts one of the most interesting and talented chefs in the region, plus an excellent front-of-house team. Most of the ingredients come from Calabria, including famous specialities such as sardella fish paste and 'nduja sausage, as well as other lesser known products. Fish and meat both feature, as both are readily available just a few kilometres from the restaurant.","
T
Air conditioning
V
American Express credit card
Booking essential
f
Car park
Credit card / Debit card accepted
M
Diners Club credit card
}
Mastercard credit card
E
Non-smoking restaurant
N
Particularly interesting wine list
û
Restaurant offering vegetarian menus
Take away
X
Visa credit card
Show Less
",+39 0966 878800,https://www.qafiz.it/,"Closed: 1-31 October, Monday, Tuesday, lunch: Wednesday-Friday, dinner: Sunday",1,38.255372,15.970499
Vitantonio Lombardo,https://guide.michelin.com/en/basilicata/matera/restaurant/vitantonio-lombardo,MICHELIN GUIDE ITALIA,"via Madonna delle Virtù 13/14, Matera, 75100, Italy",90 - 150 EUR,Creative,This new restaurant has been opened by a chef (still young in age) who has recently returned to his native region. Minimalist furnishings and lighting contrast with the unusual setting – the restaurant occupies a thousand - year - old cave in the centre of the Sasso Barisano district. Creative dishes feature on the menu alongside more regionally influenced options reinterpreted with a contemporary twist.,"
T
Air conditioning
V
American Express credit card
Credit card / Debit card accepted
M
Diners Club credit card
}
Mastercard credit card
E
Non-smoking restaurant
N
Particularly interesting wine list
X
Visa credit card
Show Less
",+39 0835 335475,https://www.vlristorante.it/,"Closed: 11-25 January, 29 June-12 July, Tuesday, lunch: Wednesday",1,40.6684321,16.6103676
Casa Sgarra,https://guide.michelin.com/en/puglia/trani/restaurant/casa-sgarra,MICHELIN GUIDE ITALIA,"lungomare C. Colombo 114, Trani, 76125, Italy",50 - 85 EUR,"Creative, Modern Cuisine","Three brothers (two front of house and one in the kitchen) run this modern restaurant on the seafront at Trani, just a 20min walk from the town’s splendid port. The cuisine is typically Puglian, especially in its choice of ingredients, reinterpreted with a modern twist by the chef.","
T
Air conditioning
V
American Express credit card
f
Car park
Credit card / Debit card accepted
Show More
",+39 0883 895968,https://www.casasgarra.it/,Nearby Restaurants,1,41.275088,16.4162585
Quintessenza,https://guide.michelin.com/en/puglia/trani/restaurant/quintessenza-1195965,MICHELIN GUIDE ITALIA,"via Lionelli 62, Trani, 76125, Italy",85 - 120 EUR,"Contemporary, Apulian","In 2021, this restaurant moved to new, more comfortable and contemporary-style premises in a historic palazzo near Castello Svevo and Santa Maria Assunta cathedral, where a cellar, ground floor and panoramic terrace provide a choice of dining spaces. Quintessenza remains in the capable hands of the Di Gennaro family – four brothers (including head chef Stefano) passionate about the modern Puglian cuisine that takes centre stage here.","
T
Air conditioning
V
American Express credit card
+
Bring your own
Credit card / Debit card accepted
M
Diners Club credit card
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
{
Private dining room
X
Visa credit card
Show Less
",+39 0883 880948,http://www.quintessenzaristorante.it,"Closed: Tuesday, dinner: Sunday",1,41.2811877,16.4154855
La Capinera,https://guide.michelin.com/en/sicilia/taormina/restaurant/la-capinera,MICHELIN GUIDE ITALIA,"via Nazionale 177, località Spisone, Taormina, 98039, Italy",70 - 105 EUR,"Creative, Sicilian","This cosy establishment has a young, enthusiastic management. It offers an innovative cuisine with a penchant for regional dishes, and summer service on the terrace.","
T
Air conditioning
V
American Express credit card
Booking essential
Credit card / Debit card accepted
e
Great view
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
N
Particularly interesting wine list
X
Visa credit card
Show Less
",+39 338 158 8013,https://www.pietrodagostino.it/,Closed: Monday,1,37.8583855,15.2997643
Otto Geleng,https://guide.michelin.com/en/sicilia/taormina/restaurant/otto-geleng,MICHELIN GUIDE ITALIA,"via Teatro Greco 59, Taormina, 98039, Italy",120 - 150 EUR,"Mediterranean Cuisine, Sicilian","The atmosphere at this restaurant is typical of Taormina and of Sicily’s old villas. It offers just eight tables laid out on a terrace adorned with bougainvillea and overlooking the Bay of Naxos and Etna. The decor here shows real attention to detail, with an emphasis on the splendour of a grand old residence, while the chef creates typical Sicilian dishes reinterpreted with his own personal twist. Tradition with a modern slant and top-quality local ingredients are to the fore here.","
V
American Express credit card
Booking essential
Credit card / Debit card accepted
M
Diners Club credit card
s
Garage
É
Garden or park
e
Great view
R
Lift
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
N
Particularly interesting wine list
X
Visa credit card
a
Wheelchair access
€
With bedrooms
Show Less
",+39 0942 627 0200,https://www.belmond.com/grandhoteltimeo,"Closed: Monday, Tuesday, Wednesday, lunch: Thursday-Sunday",1,37.8520956,15.291152
St. George by Heinz Beck,https://guide.michelin.com/en/sicilia/taormina/restaurant/st-george-by-heinz-beck,MICHELIN GUIDE ITALIA,"viale San Pancrazio 46, Taormina, 98039, Italy",145 - 170 EUR,"Creative, Contemporary","In the summer of 2020, this restaurant saw a change in the kitchen, where 30-year-old Delfo Schiaffino is now at the helm. Having gained valuable experience at restaurants around the world, the young chef is now ready to demonstrate his skills in his home country, focusing on the wealth of ingredients available to him in Sicily.","
T
Air conditioning
V
American Express credit card
Booking essential
S
Breakfast
f
Car park
Credit card / Debit card accepted
M
Diners Club credit card
É
Garden or park
e
Great view
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
N
Particularly interesting wine list
X
Visa credit card
€
With bedrooms
Show Less
",+39 0942 23537,https://www.theashbeehotel.com/,"Closed: 25 November-31 December, 1 January-31 March, lunch: Monday, Tuesday, lunch: Wednesday-Sunday",1,37.8554744,15.2900234
Zash,https://guide.michelin.com/en/sicilia/archi/restaurant/zash,MICHELIN GUIDE ITALIA,"strada provinciale 2 I/II 60, località Archi, Archi, 95018, Italy",70 - 160 EUR,Creative,"A chef with an interesting CV is behind this restaurant’s creative, beautifully prepared dishes that highlight the region’s specialities and excellent produce. Although the dining room is situated in the old mansion, its designer - style decor is modern and in line with the rest of the hotel.","
V
American Express credit card
Booking essential
f
Car park
Credit card / Debit card accepted
É
Garden or park
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
X
Visa credit card
€
With bedrooms
Show Less
",+39 095 782 8932,https://www.zash.it/,"Closed: lunch: Monday, Tuesday, lunch: Wednesday-Sunday",1,38.1220475,15.6653777
Shalai,https://guide.michelin.com/en/sicilia/linguaglossa/restaurant/shalai,MICHELIN GUIDE ITALIA,"via Guglielmo Marconi 25, Linguaglossa, 95015, Italy",52 - 130 EUR,"Modern Cuisine, Sicilian","In Sicilian dialect the word shalai describes a state of joy – which is exactly how you will feel as you take your seat at this elegant restaurant. The menu features Mediterranean dishes with a contemporary twist, while the wine list focuses mainly on wines from the Etna region.","
T
Air conditioning
V
American Express credit card
f
Car park
Credit card / Debit card accepted
Show More
",+39 095 643128,https://www.shalai.it/,Nearby Restaurants,1,37.8432102,15.1421214
Sapio,https://guide.michelin.com/en/sicilia/catania/restaurant/sapio,MICHELIN GUIDE ITALIA,"via Messina 235, Catania, 95124, Italy",78 - 120 EUR,Modern Cuisine,"This smart restaurant is run by a young couple who really look after their guests – she provides a courteous, elegant welcome front of house, while he’s in the kitchen preparing modern dishes (a feast for the eyes as well as the palate) using fresh ingredients from this magnificent island.","
T
Air conditioning
V
American Express credit card
Credit card / Debit card accepted
M
Diners Club credit card
}
Mastercard credit card
E
Non-smoking restaurant
{
Private dining room
X
Visa credit card
Show Less
",+39 095 097 5016,https://www.sapiorestaurant.it/,"Closed: 10 January-7 February, Monday, lunch: Tuesday, lunch: Saturday",1,37.5157251,15.1041872
LD Restaurant,https://guide.michelin.com/en/dubrovnik-neretva/korcula/restaurant/ld-terrace,MICHELIN GUIDE CROATIA,"Don Pavla Poše 1-6, Korcula, 20260, Croatia",450 - 970 HRK,"Mediterranean Cuisine, Modern Cuisine","Situated on the road which runs around the picturesque historic centre, this restaurant offers an outdoor area for alfresco dining in fine weather – just a few metres from the water – with a romantic view of the sea, the islands and the peninsula. Superb Mediterranean cuisine with a focus on local products, especially olive oil and excellent fish (don’t miss the sea bass! ), as well as more exotic ingredients and creative touches which come as a pleasant surprise. More limited choice at lunchtime.","
T
Air conditioning
V
American Express credit card
Credit card / Debit card accepted
M
Diners Club credit card
e
Great view
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
{
Private dining room
X
Visa credit card
€
With bedrooms
Show Less
",+385 20 601 726,https://www.ldrestaurant.com/,Closed: 25 November-15 April,1,42.9617461,17.1369472
Don Alfonso 1890 San Barbato,https://guide.michelin.com/en/basilicata/lavello/restaurant/don-alfonso-1890-san-barbato,MICHELIN GUIDE ITALIA,"Strada Statale 93, Lavello, 85024, Italy",70 - 100 EUR,"Modern Cuisine, Creative","A grand hotel requires a big name, so it’s only fitting that this elegant, stylish restaurant with floor-to-ceiling windows offering beautiful views of the garden and swimming pool is run by the Jaccarino family. The cuisine here is inspired by classic favourites, as well as reinterpretations of more regional recipes, all made from carefully selected, top-quality local ingredients. Not to be missed!","
T
Air conditioning
V
American Express credit card
Booking essential
f
Car park
Credit card / Debit card accepted
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
X
Visa credit card
a
Wheelchair access
€
With bedrooms
Show Less
",+39 0972 816011,https://www.sanbarbatoresort.com/,"Closed: Monday, lunch: Tuesday-Saturday, Sunday",1,41.0684625,15.8184785
Il Cappero,https://guide.michelin.com/en/sicilia/lipari/restaurant/il-cappero,MICHELIN GUIDE ITALIA,"località Vulcanello, Lipari, 98055, Italy",140 - 160 EUR,"Mediterranean Cuisine, Modern Cuisine","Excellent Mediterranean cuisine with a modern twist created by a chef renowned for his imaginative style. He uses carefully selected ingredients and adds hints of his native Ischia to the local specialities. Jutting out over the sea, this is the only place in the Aeolian islands from where all the islands can be seen.","
V
American Express credit card
Booking essential
f
Car park
”
Counter dining
Credit card / Debit card accepted
M
Diners Club credit card
É
Garden or park
e
Great view
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
N
Particularly interesting wine list
X
Visa credit card
€
With bedrooms
Show Less
",+39 090 985 2555,https://www.therasiaresort.it/,"Closed: 25 November-10 April, Monday, lunch: Tuesday-Sunday",1,38.4475135,14.9594972
Accursio,https://guide.michelin.com/en/sicilia/modica/restaurant/accursio,MICHELIN GUIDE ITALIA,"via Grimaldi 41, Modica, 97015, Italy",95 - 140 EUR,Creative,"Original, creative and colourful cuisine served in a restaurant with the intimate feel of a private house. The dining room only has a few tables and is decorated with photos of traditional rural life and beautiful tiles on the floor. Meanwhile, the new Accursio Radici osteria offers more traditional, lower-priced options with a real focus on the chef’s gastronomic roots.","
T
Air conditioning
V
American Express credit card
Booking essential
Credit card / Debit card accepted
}
Mastercard credit card
E
Non-smoking restaurant
X
Visa credit card
a
Wheelchair access
Show Less
",+39 0932 941689,http://www.accursioristorante.it/,"Closed: 7 January-15 March, Monday, dinner: Sunday",1,36.8602035,14.7608612
