place_id,Restaurant Name,Address,Country,Region,Price,Cuisine,Longitude,Latitude,Phone Number,Michelin Guide Post Link,Google Website Link,Michelin Award,Facilities And Services,Description,SFA Hygiene Grade,Safety Penalty,Review Count,Average Rating,value_tier,value_score,service_tier,service_score,taste_tier,taste_score,value_tier_numeric,service_tier_numeric,taste_tier_numeric
ChIJ85YC688Z2jERs3PqCClm0-I,435 At Home,"435 Race Course Road, Singapore 218675",Singapore,Central,2.0,Western,103.8577556,1.316012,9757 4760,Not in Michelin Guide Yet,https://maps.google.com/?cid=16344519799086937011,Not Awarded Any Yet,"Dine-in,Delivery,Reservations,Outdoor seating,Beer,Wine",No Description Available Yet,A,0,4,5.0,good,0.8122,excellent,0.7306,good,0.9762,4.25,5.0,4.0
ChIJe7uhLpMP2jERKrXGrPmLsAI,4Fingers Crispy Chicken (Jurong West Central 2),"1 Jurong West Central 2, Singapore 643698",Singapore,West,2.0,Fast Food,103.7062886,1.3399257,6316 6609,Not in Michelin Guide Yet,https://maps.google.com/?cid=193808688438752554,Not Awarded Any Yet,"Dine-in,Takeaway,Outdoor seating,Credit cards,NFC payments,Wheelchair accessible",No Description Available Yet,A,0,4,3.75,poor,0.7428,good,0.7258,good,0.8093,2.75,4.25,4.0
ChIJee5FCAMX2jERKocEV8MUz3k,4Fingers Crispy Chicken (Jalan Kayu),"227 Jalan Kayu, Singapore 799457",Singapore,North-East,2.0,Fast Food,103.8728541,1.3959389,6235 7725,Not in Michelin Guide Yet,https://maps.google.com/?cid=8777257027979478826,Not Awarded Any Yet,"Dine-in,Takeaway,Delivery,Credit cards,NFC payments",No Description Available Yet,A,0,5,2.8,poor,0.4534,poor,0.263,good,0.6426,3.0,2.8,3.2
ChIJsyhj0n4Z2jERIBEWr81OZhg,4Fingers Crispy Chicken (Tiong Bahru),"302 Tiong Bahru Rd, #01-105, Singapore 168732",Singapore,Central,2.0,Fast Food,103.8277249,1.2862968,6264 8098,Not in Michelin Guide Yet,https://maps.google.com/?cid=1758179349847478560,Not Awarded Any Yet,"Dine-in,Takeaway,Delivery,Credit cards,NFC payments,Wheelchair accessible",No Description Available Yet,A,0,4,3.5,good,0.7036,excellent,0.6554,good,0.6487,3.0,3.0,3.5
ChIJTw1U1IUR2jERGGJClZEVwec,4Fingers Crispy Chicken (Bukit Batok West Avenue 6),"Bukit Batok West Avenue 6, Singapore 657977",Singapore,West,2.0,Fast Food,103.7408471,1.3557202,No Phone Number Listed,Not in Michelin Guide Yet,https://maps.google.com/?cid=16699652608285106712,Not Awarded Any Yet,"Dine-in,Takeaway,Delivery",No Description Available Yet,A,0,5,1.0,poor,0.8034,terrible,0.7141,poor,0.7129,2.4,2.2,2.2
ChIJo6zVvtwP2jERyf2Nuhm97cM,505 Jurong West Market & Food Centre,"505 Jurong West Street 52, Singapore 640505",Singapore,West,1.0,Street Food,103.7185004,1.3498107,No Phone Number Listed,Not in Michelin Guide Yet,https://maps.google.com/?cid=14118148325078072777,Not Awarded Any Yet,"Dine-in,Takeaway,Outdoor seating,Beer,Coffee,NFC payments,Wheelchair accessible",No Description Available Yet,A,0,2,4.0,good,0.7572,excellent,0.7988,good,0.9258,4.0,5.0,4.0
ChIJV3tVRW8V2jERwUPT2lBYG9o,57 Mala Xiang Guo,"598 Yishun Ring Road, Singapore 768698",Singapore,North,1.0,Chinese,103.8408815,1.4183631,9762 2413,Not in Michelin Guide Yet,https://maps.google.com/?cid=15716252428931384257,Not Awarded Any Yet,"Dine-in,Takeaway,Delivery,Reservations,Beer,NFC payments,Wheelchair accessible",No Description Available Yet,A,0,4,5.0,excellent,0.5062,excellent,0.6864,excellent,0.9312,4.5,4.75,4.5
ChIJRTR5pIcR2jERBi8_dy8a5Bc,6Th Avenue Fishball Noodles By Auntie Sally,"Anamalai Avenue, Singapore 276472",Singapore,Central,1.0,Street Food,103.7949342,1.3306148,No Phone Number Listed,Not in Michelin Guide Yet,https://maps.google.com/?cid=1721529748728786694,Not Awarded Any Yet,"Dine-in,Takeaway,Delivery,Wheelchair accessible",No Description Available Yet,A,0,5,4.8,good,0.7483,good,0.6533,good,0.9937,3.8,4.0,4.0
ChIJP9F23Z4Q2jERqZXXwXcXlqs,6Th Avenue Wanton Mee,"24 Sixth Avenue, Singapore 268802",Singapore,Central,1.0,Street Food,103.7949324,1.3305623,No Phone Number Listed,Not in Michelin Guide Yet,https://maps.google.com/?cid=12364095630112953769,Not Awarded Any Yet,"Dine-in,Takeaway,Outdoor seating,Beer,Coffee",No Description Available Yet,B,1,4,4.25,good,0.5449,good,0.4684,good,0.9018,3.5,3.75,4.0
ChIJIejW93kZ2jERg6mb4ptMgdE,7 Original Tiong Bahru Fishball,"30 Seng Poh Rd, #02-20 Market, Singapore 168898",Singapore,Central,1.0,Street Food,103.8325965,1.2849131,No Phone Number Listed,Not in Michelin Guide Yet,https://maps.google.com/?cid=15096431658328107395,Not Awarded Any Yet,"Takeaway,Wheelchair accessible",No Description Available Yet,B,1,4,2.25,good,0.7974,excellent,0.4096,good,0.7721,3.0,3.0,3.0
ChIJs6dzyOcZ2jERwI9Uyo1E984,7 Tavern,"1 Goldhill Plaza, Singapore 308380",Singapore,Central,2.0,Bar,103.8425832,1.3183617,6252 3310,Not in Michelin Guide Yet,https://maps.google.com/?cid=14913464066836303808,Not Awarded Any Yet,"Dine-in,Takeaway,Reservations,Outdoor seating,Live music,Beer,Wine,Cocktails,Credit cards,NFC payments",No Description Available Yet,A,0,3,4.33,good,0.7688,excellent,0.7105,good,0.9742,4.0,4.67,4.0
ChIJBYKKHzQV2jERqxPc5Rjq4xM,729 Vegan,"729 Yishun Street 71, #01-117, Singapore 760729",Singapore,North,1.0,Vegetarian,103.8317137,1.4260277,No Phone Number Listed,Not in Michelin Guide Yet,https://maps.google.com/?cid=1433246499090469803,Not Awarded Any Yet,"Dine-in,Takeaway,Coffee,NFC payments",No Description Available Yet,A,0,5,5.0,good,0.7128,excellent,0.8089,good,0.9801,3.6,4.4,4.0
ChIJ82xg0u4T2jERNb-QL3wikh0,786 Banana Leaf,"306A Woodlands Street 31, Singapore 731306",Singapore,North,1.0,Indian,103.7751675,1.4300547,9634 3561,Not in Michelin Guide Yet,https://maps.google.com/?cid=2130803490468970293,Not Awarded Any Yet,"Dine-in,Takeaway,Delivery",No Description Available Yet,A,0,3,3.33,average,0.8268,good,0.7086,good,0.7323,3.33,4.33,3.67
ChIJdZ8sgU8b2jERSYDNCfpumO8,786 Spices,"2C Jalan Papan, Singapore 619815",Singapore,West,1.0,Indian,103.7301385,1.3204172,8847 5767,Not in Michelin Guide Yet,https://maps.google.com/?cid=17264671191710138441,Not Awarded Any Yet,"Dine-in,Takeaway,Delivery,Coffee,Wheelchair accessible",No Description Available Yet,A,0,1,5.0,average,0.9823,excellent,0.9754,good,0.9877,3.0,5.0,4.0
ChIJ5ceO_jgQ2jERHPj7pKwRhAo,8 Degree Lounge (Bukit Batok),"Bukit Batok West Avenue 2, Singapore 659206",Singapore,West,1.0,Bar,103.7491335,1.352999099999999,6515 6007,Not in Michelin Guide Yet,https://maps.google.com/?cid=757750070505109532,Not Awarded Any Yet,"Dine-in,Reservations,Live music,Beer,Wine,Cocktails,Credit cards,NFC payments,Wheelchair accessible",No Description Available Yet,A,0,3,4.67,good,0.7624,good,0.6704,good,0.7835,4.0,4.33,4.0
ChIJE2AXorsV2jERAQhKqilqpec,8 Degree Lounge (Orchid Country Club),"Orchid Club Road, Singapore 769162",Singapore,North,1.0,Lounge,103.8444911,1.4110305,9669 4012,Not in Michelin Guide Yet,https://maps.google.com/?cid=16691864321101793281,Not Awarded Any Yet,"Dine-in,Takeaway,Reservations,Live music,Beer,Wine,Cocktails,Credit cards,NFC payments,Wheelchair accessible",No Description Available Yet,A,0,5,3.4,average,0.8645,good,0.7939,good,0.562,2.8,3.4,3.4
ChIJ1e_2c6UX2jERca4jYf4Xrt8,8 Degrees Taiwanese Bistro 8- (Kovan),"Lowland Road, Singapore 547444",Singapore,North-East,2.0,Taiwanese,103.883417,1.361141,8699 8171,Not in Michelin Guide Yet,https://maps.google.com/?cid=16117846497724444273,Not Awarded Any Yet,"Dine-in,Takeaway,Delivery,Outdoor seating,Coffee,Credit cards,NFC payments",No Description Available Yet,A,0,4,3.0,good,0.7697,excellent,0.7204,good,0.9704,3.25,3.5,3.25
ChIJtQc9mfAb2jERX7PXCU9yfX4,8 Noodles,"101 Siloso Rd, 098970",Singapore,Central,2.0,Street Food,103.8103358,1.2573914,6371 1966,Not in Michelin Guide Yet,https://maps.google.com/?cid=9114566904660865887,Not Awarded Any Yet,"Dine-in,Takeaway,Reservations,Outdoor seating,Wheelchair accessible",No Description Available Yet,A,0,5,3.0,good,0.6433,excellent,0.4464,good,0.7621,3.0,3.8,3.8
ChIJ7xtlvwUR2jERK6QUXirn5cg,803 Thai Food (803 (Upper Jurong Road),"Upper Jurong Road, Singapore 638365",Singapore,West,1.0,Thai,103.6821887,1.3294921,8310 6459,Not in Michelin Guide Yet,https://maps.google.com/?cid=14476230746405381163,Not Awarded Any Yet,"Dine-in,Takeaway,Delivery,Coffee,NFC payments",No Description Available Yet,A,0,5,3.8,good,0.6789,excellent,0.4672,good,0.7959,3.6,4.4,4.2
ChIJR19GINoP2jERIVvcAXcatpg,81 Seafood Restaurant,"406 Jurong West Street 42, Singapore 640406",Singapore,West,2.0,Seafood,103.7227622,1.3542716,9072 2049,Not in Michelin Guide Yet,https://maps.google.com/?cid=11004011837961034529,Not Awarded Any Yet,"Dine-in,Takeaway,Delivery,Reservations,Outdoor seating,Beer,Coffee,Credit cards,Wheelchair accessible",No Description Available Yet,A,0,4,2.25,poor,0.7656,poor,0.7186,poor,0.9176,2.5,2.5,2.5
ChIJO9ku4ecZ2jER_EeRIKh_HnU,85 Redhill,"101 Thomson Road, Singapore 307591",Singapore,Central,1.0,Noodle Shop,103.8432169,1.3174458,6370 1155,Not in Michelin Guide Yet,https://maps.google.com/?cid=8439323111816513532,Not Awarded Any Yet,"Dine-in,Takeaway,Wheelchair accessible",No Description Available Yet,B,1,3,3.33,poor,0.9228,excellent,0.4831,good,0.9884,2.67,3.67,3.33
ChIJHQXxij0P2jERQ4z-BQ43ikE,851 Indian-Muslim Food,"851 Jurong West Street 81, #01-283 Block 852, Singapore 640851",Singapore,West,1.0,Indian,103.6925469,1.3466391,9379 1345,Not in Michelin Guide Yet,https://maps.google.com/?cid=4722647692621024323,Not Awarded Any Yet,"Dine-in,Takeaway,Coffee,Wheelchair accessible",No Description Available Yet,A,0,3,3.33,good,0.6611,excellent,0.5415,good,0.7969,3.33,4.0,4.0
ChIJd4RX0rUX2jERELbXtrxM0v8,"888 Mookata, Hougang","Hougang Avenue 1, Singapore 530211",Singapore,North-East,2.0,Thai,103.8882546,1.3599799,8798 0919,Not in Michelin Guide Yet,https://maps.google.com/?cid=18433880598186014224,Not Awarded Any Yet,"Dine-in,Takeaway,Reservations,Outdoor seating,Beer,Coffee,Wheelchair accessible",No Description Available Yet,A,0,3,3.0,poor,0.7306,poor,0.4807,poor,0.9104,2.0,2.67,2.67
ChIJYcB1XlQR2jER94t9qyQmDrs,922 Beng Cheng Hakka Ampang Yong Tau Fu,"920 Upper Thomson Road, Singapore 787113",Singapore,North,2.0,Chinese,103.8179758,1.3992414,9817 7124,Not in Michelin Guide Yet,https://maps.google.com/?cid=13478752673704283127,Not Awarded Any Yet,"Dine-in,Takeaway,Outdoor seating,Beer,Coffee,Cash only",No Description Available Yet,A,0,4,2.5,good,0.8831,terrible,0.5031,good,0.8405,3.0,2.75,3.5
ChIJNYV_ctsP2jERNhgsbwXyh1U,96 Western,"442 Jurong West Avenue 1, Singapore 640442",Singapore,West,1.0,Western,103.7193409,1.3514982,8963 1696,Not in Michelin Guide Yet,https://maps.google.com/?cid=6163160720233732150,Not Awarded Any Yet,"Dine-in,Takeaway,Delivery,Outdoor seating",No Description Available Yet,A,0,5,4.4,average,0.7908,excellent,0.4574,good,0.9979,3.4,4.6,4.0
ChIJR4mBArAb2jERMQtZDkYdvhE,99 Buona Vista Kitchen,"22 South Buona Vista Rd, Singapore 118156",Singapore,Central,1.0,Chinese,103.7867971,1.2804626,9241 1352,Not in Michelin Guide Yet,https://maps.google.com/?cid=1278491530945432369,Not Awarded Any Yet,"Dine-in,Takeaway,Delivery,Reservations,Outdoor seating,Beer,Coffee,Wheelchair accessible",No Description Available Yet,B,1,4,3.5,good,0.8504,excellent,0.8722,good,0.923,3.5,4.75,4.0
ChIJUx08KpwP2jER_cJWhf24UOA,A & I Hainanese Boneless Chicken Rice,"907 Jurong West Street 91, Singapore 640907",Singapore,West,1.0,Street Food,103.6858174,1.3412583,9271 3319,Not in Michelin Guide Yet,https://maps.google.com/?cid=16163622461636002557,Not Awarded Any Yet,"Dine-in,Takeaway,Delivery,Reservations,Outdoor seating,Coffee,Cash only,Wheelchair accessible",No Description Available Yet,B,1,4,4.0,good,0.6877,good,0.4226,good,0.8154,4.0,4.25,4.0
ChIJ1yl3DkYR2jER0EUpkr2Eo28,A Hot Hideout (Bukit Panjang (Junction 10)),"1 Woodlands Rd, #01-34/35 Junction 10, Singapore 677899",Singapore,West,2.0,Chinese,103.759958,1.3803952,No Phone Number Listed,Not in Michelin Guide Yet,https://maps.google.com/?cid=8044419309149701584,Not Awarded Any Yet,"Dine-in,Takeaway,Delivery,Credit cards,NFC payments,Wheelchair accessible",No Description Available Yet,A,0,3,5.0,good,0.7768,excellent,0.857,good,0.7577,4.33,4.67,4.0
ChIJq0q0MvQZ2jERodJdZBEeH3A,A Hot Hideout (Jurong West (Ntu)),"Nanyang Crescent, Singapore 636959",Singapore,West,2.0,Chinese,103.6880256,1.3542467,No Phone Number Listed,Not in Michelin Guide Yet,https://maps.google.com/?cid=8079209316573106849,Not Awarded Any Yet,"Dine-in,Takeaway,Delivery,Outdoor seating,Credit cards,NFC payments,Wheelchair accessible",No Description Available Yet,A,0,2,5.0,excellent,0.8067,excellent,0.8734,good,0.9736,3.5,3.0,4.0
ChIJQwH2mvsZ2jER3xDN9Afd33M,A Hot Hideout (Kent Ridge (Nus)),"27 Prince George's Pk, #02-01 National University of Singapore, Singapore 118425",Singapore,Central,2.0,Chinese,103.7813368,1.2905102,No Phone Number Listed,Not in Michelin Guide Yet,https://maps.google.com/?cid=8349635260409778399,Not Awarded Any Yet,"Dine-in,Takeaway,Delivery,Credit cards,NFC payments,Wheelchair accessible",No Description Available Yet,A,0,3,3.33,poor,0.5753,excellent,0.3275,good,0.8202,2.33,2.67,3.0
ChIJT86lnmAX2jERRdQjlHrlIio,A Hot Hideout (Lentor (Lentor Modern)),"1 Lentor Central, Singapore 788887",Singapore,North,2.0,Chinese,103.834204,1.3856858,No Phone Number Listed,Not in Michelin Guide Yet,https://maps.google.com/?cid=3036241413435282501,Not Awarded Any Yet,"Dine-in,Takeaway,Delivery",No Description Available Yet,A,0,3,5.0,excellent,0.8523,excellent,0.5359,good,0.9507,4.67,4.67,4.0
ChIJS0HDCQAR2jERvDj7HpQLI6g,A Taste Of Korea,"91 Hillview Link, #02-05 Central Manpower Base, Singapore 669723",Singapore,West,1.0,Asian,103.7642518,1.3662656,No Phone Number Listed,Not in Michelin Guide Yet,https://maps.google.com/?cid=12115540153359612092,Not Awarded Any Yet,Takeaway,No Description Available Yet,A,0,3,4.33,good,0.5347,good,0.203,good,0.6306,3.33,3.33,4.0
ChIJ_4NzEwAR2jERYxfpE4KLa7g,A&M Zaika,"640A Senja Link, Singapore 670643",Singapore,West,2.0,Indian,103.7611279,1.3878581,No Phone Number Listed,Not in Michelin Guide Yet,https://maps.google.com/?cid=13288868516282832739,Not Awarded Any Yet,,No Description Available Yet,A,0,1,5.0,excellent,0.5459,excellent,0.8279,excellent,0.9943,5.0,5.0,5.0
ChIJQQKOeWwV2jERKCNINFaVPTg,A-Go-Go Rojak,"333C Yishun Street 31, Singapore 763333",Singapore,North,1.0,Asian,103.8456833,1.4317891,No Phone Number Listed,Not in Michelin Guide Yet,https://maps.google.com/?cid=4052559437180183336,Not Awarded Any Yet,"Dine-in,Takeaway",No Description Available Yet,A,0,3,4.67,good,0.7901,excellent,0.7334,good,0.9937,4.0,4.67,4.0
ChIJ7_7BW8YZ2jER_gCm5n46SyU,A-One Restaurant,"Birch Road, Singapore 219894",Singapore,Central,1.0,Indian,103.8538867,1.3108562,6294 8590,Not in Michelin Guide Yet,https://maps.google.com/?cid=2687305919366562046,Not Awarded Any Yet,"Dine-in,Takeaway,Coffee",No Description Available Yet,A,0,4,5.0,excellent,0.7431,excellent,0.9108,good,0.9858,4.5,5.0,4.0
ChIJdXC7b_YR2jERk5CmVtfpaec,A-One Signature (Hillv2),"4 Hillview Rise, Singapore 667980",Singapore,West,2.0,Chinese,103.7641958,1.3629411,8354 1467,Not in Michelin Guide Yet,https://maps.google.com/?cid=16675116206396969107,Not Awarded Any Yet,"Dine-in,Takeaway,Credit cards,NFC payments",No Description Available Yet,C,2,4,3.5,good,0.7447,excellent,0.5229,good,0.9916,3.25,3.75,3.5
ChIJ19nCJgAX2jERkXAnv_2E6YE,A-One Signature (Hougang 1),"1 Hougang Street 91, Singapore 538692",Singapore,North-East,2.0,Chinese,103.8791803,1.376123,No Phone Number Listed,Not in Michelin Guide Yet,https://maps.google.com/?cid=9361159525834911889,Not Awarded Any Yet,"Dine-in,Takeaway",No Description Available Yet,A,0,4,3.75,good,0.8622,good,0.8369,good,0.8009,3.25,3.75,4.0
ChIJO-FlOIka2jERk3VujaA675g,A-Poh Kitchen,"354 Clementi Avenue 2, Singapore 120354",Singapore,Central,2.0,Halal,103.7703991,1.3134318,6774 5534,Not in Michelin Guide Yet,https://maps.google.com/?cid=11020091274440897939,Not Awarded Any Yet,"Dine-in,Takeaway,Delivery,Reservations,Outdoor seating,Coffee,Credit cards,NFC payments",No Description Available Yet,A,0,3,4.33,average,0.6538,excellent,0.4596,good,0.8899,4.0,4.67,4.0
ChIJ3ZltdOcZ2jERI_nSocpcfhk,A-Roy Thai Restaurant,"238A Thomson Road, Singapore 307684",Singapore,Central,2.0,Thai,103.8439076,1.3199572,6338 3880,Not in Michelin Guide Yet,https://maps.google.com/?cid=1837007723381848355,Not Awarded Any Yet,"Dine-in,Takeaway,Delivery,Reservations,Beer,Coffee,Credit cards,NFC payments,Wheelchair accessible",No Description Available Yet,A,0,5,4.4,good,0.6762,excellent,0.5602,good,0.9826,3.8,4.6,3.6
