Restaurant Name,place_id,Address,Country,Region,Price,Cuisine,Longitude,Latitude,Phone Number,Michelin Guide Post Link,Google Website Link,Michelin Award,Facilities And Services,Description,SFA Hygiene Grade,Safety Penalty,Review Count,Average Rating,value_tier,value_score,service_tier,service_score,taste_tier,taste_score,value_tier_numeric,service_tier_numeric,taste_tier_numeric,Is Michelin
Ammakase,ChIJHUoAagAZ2jER6NJwt-Dpn7M,"#04-48, One Raffles Place, 048616, Singapore",Singapore,Central,3.0,Fine Dining,103.851094,1.284513,8898 5275,https://guide.michelin.com/en/singapore-region/singapore/restaurant/ammakase,https://www.ammakase.com/,Selected Restaurants,"Dine-in,Reservations,Beer,Wine,Cocktails,Coffee,Credit cards,NFC payments,Wheelchair accessible","In case you're curious about the name (or perhaps you guessed), this place serves a 6- to 10-course omakase-style tasting menu, showcasing diverse flavours from across India. Chef Robin champions a refined take on Indian cuisine, using solid French techniques and ingredients from West Bengal, Gujarat and Sri Lanka. Elegant smaller dishes are meticulously prepared for a balance of flavours. Perfectly paired with their Indian-inspired cocktails.",A,0,33,4.61,good,0.6122,excellent,0.8174,good,0.9564,4.18,4.7,4.06,True
Anglo Indian (Shenton Way),ChIJ2atmAhIZ2jERQplFzS1Yits,"#01-08, 1 Shenton Way, 068803, Singapore",Singapore,Central,2.0,Cafe,103.85043,1.279361,6636 9411,https://guide.michelin.com/en/singapore-region/singapore/restaurant/anglo-indian-shenton-way,https://www.angloindian.com.sg,Bib Gourmand,"Dine-in,Takeaway,Delivery,Reservations,Outdoor seating,Beer,Wine,Cocktails,Coffee,Credit cards,NFC payments,Wheelchair accessible","If there is one dish that customers expect to find in a restaurant called Anglo Indian, it is chicken tikka masala, and, sure enough, it is a bestseller in this simply decorated eatery in the heart of the CBD. The dining room may only seat 20, but there is a large outdoor terrace that is often packed. Other popular choices from the sensibly priced menu include butter chicken and mutton dum biryani. The weekday lunch is a steal.",A,0,26,3.69,good,0.7806,excellent,0.6454,good,0.884,3.38,3.69,3.38,True
Ann Chin Handmade Popiah,ChIJEZhVk2sZ2jERgg4cqj4gPGY,"Chinatown Complex Market & Food Centre, #02-112, 335 Smith Street, 050335, Singapore",Singapore,Central,1.0,Street Food,103.8433404,1.2820232,8189 4699,https://guide.michelin.com/en/singapore-region/singapore/restaurant/ann-chin-handmade-popiah,https://www.annchinpopiah.com.sg/,Selected Restaurants,"Takeaway,Delivery,Cash only","Popiah filled with ingredients such as eggs, shrimp, carrot, peanuts, etc. affords rich, varied flavours. The deep-fried spring rolls are crispy on the outside, juicy on the inside and loaded with big-boned oomph.",A,0,25,4.32,good,0.6892,excellent,0.5956,good,0.8942,3.56,4.44,3.88,True
Ar Er Soup,ChIJnT901Fsb2jERwaVDhPWcI9o,"ABC Brickworks Market & Food Centre, #01-141, Blk 6 Jalan Bukit Merah, 150006, Singapore",Singapore,Central,1.0,Street Food,103.8081238,1.2868701,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/ar-er-soup,"https://www.google.com/maps/search/Ar+Er+Soup+Singapore+150006/@1.2869234,103.8080971,17z/data=!3m1!4b1?entry=tts&g_ep=EgoyMDI2MDMxOC4xIPu8ASoASAFQAw%3D%3D&skid=73427327-2b3a-4a83-9a94-b93a32087b7b",Bib Gourmand,"Dine-in,Takeaway,Wheelchair accessible","Eight kinds of MSG-free slow-boiled soups, including the signature ginseng Silkie chicken soup that boasts a mild herbal taste are on the menu here. All are served with pumpkin rice or steamed rice. Come early to beat the crowds.",A,0,26,4.35,good,0.7325,excellent,0.5725,good,0.8344,3.69,4.42,3.96,True
Araya,ChIJZXWDPcYZ2jERTnbzNEZ_hDE,"Mondrian Duxton, #01-08, 83 Neil Road, 089813, Singapore",Singapore,Central,4.0,Chilean,103.841816,1.278868,8870 0871,https://guide.michelin.com/en/singapore-region/singapore/restaurant/araya,https://arayarestaurant.com/,1 Star,"Dine-in,Reservations,Beer,Wine,Cocktails,Coffee,Credit cards,NFC payments,Wheelchair accessible","Chilean chefs Araya and Guerrero worked at the same restaurant in China. Their ingenious creations – deeply influenced by Araya's time in Spain and Japan – use an eclectic mix of Chilean and Japanese produce, with a South Pacific theme. Japanese favourites such as kinki and cod milt are jazzed up by aji amarillo and merkén from Chile, served alongside French pigeon and caviar. They even ferment and roast their own cacao to use in sauces.",A,0,29,4.48,good,0.6188,excellent,0.7493,good,0.8317,3.9,4.48,4.03,True
Aunty Oats Pancake,ChIJv08VTj8Y2jERmNIY1jFBOZU,"51 Old Airport Road Food Centre, #01-110, 51 Old Airport Road, 390051, Singapore",Singapore,Central,1.0,Street Food,103.8857344,1.3083574,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/aunty-oats-pancake,"https://www.google.com/maps/place/Aunty+Oats+Pancake/@1.308232,103.8858505,17z/data=!3m1!4b1!4m6!3m5!1s0x31da183f4e154fbf:0x95394131d618d298!8m2!3d1.308232!4d103.8858505!16s%2Fg%2F11h7s4glvp?entry=tts&g_ep=EgoyMDI2MDMxOC4xIPu8ASoASAFQAw%3D%3D&skid=deb336f6-f415-4039-9306-127c734e41c1",Selected Restaurants,"Dine-in,Takeaway,Coffee","Fluffy and spongy pancakes are made to order with a wheat flour batter and no eggs. Vegan fillings include shredded coconut, red bean paste, and peanuts. Lacto vegetarians may go for cheese or chocolate filling.",A,0,26,4.54,good,0.7413,good,0.6045,good,0.9109,3.69,3.96,3.69,True
Bahrakath Mutton Soup,ChIJv4Mk4QYa2jER3mvQRS4vAMA,"Adam Food Centre, #01-10, 2 Adam Road, 289876, Singapore",Singapore,Central,1.0,Street Food,103.814139,1.324031,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/bahrakath-mutton-soup,"https://www.google.com/maps/place/Bahrakath+Mutton+Soup/@1.3241038,103.8141321,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1a06e12483bf:0xc0002f2e45d06bde!8m2!3d1.3241038!4d103.8141321!16s%2Fg%2F1hbpwp320?entry=tts&g_ep=EgoyMDI2MDMxOC4xIPu8ASoASAFQAw%3D%3D&skid=a9300722-8a76-4011-ab19-1324e04b8642",Bib Gourmand,"Dine-in,Takeaway,Wheelchair accessible","Since 1973, this stall has been serving its secret mutton soup recipe. The broth is rich, dense, and full of herbal flavours. Apart from the popular leg, also try other lamb cuts. Order bread to mop up the broth.",B,1,23,3.7,good,0.6311,good,0.3714,good,0.8602,3.48,4.09,3.96,True
Bar-Roque Grill,ChIJKZoOX2sZ2jERhJqFXCG1oAw,"165 Tanjong Pagar Road, 088539, Singapore",Singapore,Central,2.0,Steak House,103.843511,1.2755732,6444 9672,https://guide.michelin.com/en/singapore-region/singapore/restaurant/bar-roque-grill,https://www.stefanandnico.com,Selected Restaurants,"Dine-in,Takeaway,Delivery,Reservations,Outdoor seating,Beer,Wine,Cocktails,Credit cards,NFC payments,Wheelchair accessible","The Alsace-born chef takes diners on a culinary journey to his homeland with authentic regional specialties such as choucroute garnie and tarte flambée aux escargots. International dishes are also popular, like Malaysian rotisserie free-range chicken and a selection of beefsteaks dry aged in-house and chargrilled to perfection. Service is attentive and helpful. Start or end the night with a drink on the terrace or at the bar.",A,0,28,5.0,good,0.7173,excellent,0.8672,good,0.9297,4.29,4.57,4.11,True
Beach Road Fish Head Bee Hoon,ChIJpf2Iv9kZ2jER87KuaXAPp84,"Whampoa Makan Place, #01-46, 90/91 Whampoa Drive 91, 320091, Singapore",Singapore,Central,1.0,Street Food,103.8548346,1.3232442,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/beach-road-fish-head-bee-hoon,"https://www.google.com/maps/place/Beach+Road+Fish+Head+Bee+Hoon/@1.3233389,103.8541373,17z/data=!3m1!4b1!4m6!3m5!1s0x31da19d9bf88fda5:0xcea70f7069aeb2f3!8m2!3d1.3233389!4d103.8541373!16s%2Fg%2F11bx42w4cg?entry=tts&g_ep=EgoyMDI2MDMxOC4xIPu8ASoASAFQAw%3D%3D&skid=c275bd5d-2bed-4d54-b250-017d9847955c",Bib Gourmand,"Dine-in,Takeaway,Wine","The sliced fish bee hoon (rice vermicelli) comes in a flavourful, milky fish stock, with fried garlic bits for extra fragrance and crunch. Also worth trying are the tom yam soup, seafood soup and fried fish head bee hoon.",A,0,27,4.44,good,0.6289,good,0.4403,good,0.8356,3.63,4.07,3.7,True
Bedok Chwee Kueh,ChIJFyWmOLMi2jER5cArXeh7JHQ,"Bedok Interchange Hawker Centre, #01-19, 208 New Upper Changi Road, 460208, Singapore",Singapore,East,1.0,Street Food,103.9306756,1.3249411,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/bedok-chwee-kueh,"https://www.google.com/maps/place/Bedok+Chwee+Kueh+%E6%B0%B4%E7%B2%BF+(%2301-19)/@1.3250299,103.9304702,17z/data=!3m1!4b1!4m6!3m5!1s0x31da22b338a62517:0x74247be85d2bc0e5!8m2!3d1.3250299!4d103.9304702!16s%2Fg%2F11bwqpt5b5?entry=tts&g_ep=EgoyMDI2MDMxOC4xIPu8ASoASAFQAw%3D%3D&skid=07d7579f-c4b1-46b5-ba02-b9c5e6e3ef5b",Selected Restaurants,"Dine-in,Takeaway,Wheelchair accessible","The freshly steamed chwee kueh rice cakes are soft and velvety and the sauce on top made with preserved radish, scallion, dried shrimps and chilli is simply irresistible. May be closed without prior notice.",A,0,29,2.9,good,0.6749,good,0.5532,good,0.7127,3.03,3.07,3.07,True
Belimbing,ChIJTb3JFDIZ2jERUA_GspxrHpk,"Level 2, 269A Beach Road, 199546, Singapore",Singapore,Central,2.0,Singaporean,103.8601196,1.3008122,8869 7243,https://guide.michelin.com/en/singapore-region/singapore/restaurant/belimbing,https://www.lobehold.com/concepts/belimbing/,Selected Restaurants,"Dine-in,Reservations,Beer,Wine,Cocktails,Coffee,Credit cards,NFC payments","Belimbing refers to ""starfruit"", a versatile ingredient in Asian cooking. The bustling open kitchen is set against sage green walls and wood trims that impart serenity. The menu features traditional Singaporean fare with creative twists. Corn salat is a nod to kueh salat, reimagined with sweet corn and brown butter for nutty, toasty sweetness. Paired with assam pedas and white pepper sauce, the silky clam custard boasts layers of flavour.",B,1,28,4.64,good,0.6372,excellent,0.5976,good,0.9309,3.82,4.5,4.11,True
Bhoomi,ChIJGcjOMWcZ2jERj5AHsaL4zGE,"#01-05, 1 Claymore Drive, 229594, Singapore",Singapore,Central,2.0,Indian,103.829378,1.307339,6225 4221,https://guide.michelin.com/en/singapore-region/singapore/restaurant/bhoomi-1218260,https://bhoomi.sg,Selected Restaurants,"Dine-in,Takeaway,Delivery,Reservations,Beer,Wine,Cocktails,Coffee,Credit cards,NFC payments","Solid wood furniture, rattan pendant lamps and wagon wheel chandeliers impart modern boho chic in this bright, cosy space with two levels. The chef recounts his memories and personal story through a menu that encompasses meat dishes, as well as vegetarian, gluten-free and vegan options. Inspired by Indian street food, the signature Indori beetroot tikki is big on flavours with a hint of sweetness from the corn.",B,1,24,4.96,excellent,0.7125,excellent,0.8571,good,0.9499,4.42,4.88,4.12,True
Birds Of Paradise (Katong),ChIJm-8AiHIY2jERf0IR8Y0-SNo,"#01-05, 63 East Coast Road, 428776, Singapore",Singapore,Central,1.0,Street Food,103.9035725,1.3052429,9678 6092,https://guide.michelin.com/en/singapore-region/singapore/restaurant/birds-of-paradise,https://birdsofparadise.sg,Selected Restaurants,"Takeaway,Delivery,Credit cards,NFC payments,Wheelchair accessible","A mesmerising array of top-quality gelato and sorbet is served in house-made thyme-scented waffle cones. Sea salt hojicha, white chrysanthemum, and raspberry lychee are some of its outstanding offerings.",B,1,21,4.57,good,0.6548,excellent,0.7004,good,0.8243,3.62,4.48,3.9,True
Bismillah Biryani (Little India),ChIJ_Zh0qbkZ2jERUOVEa0m0ahs,"50 Dunlop Street, 209379, Singapore",Singapore,Central,1.0,Street Food,103.8536,1.304989,6935 1326,https://guide.michelin.com/en/singapore-region/singapore/restaurant/bismillah-biryani,https://www.bismillahbiryani.com/,Bib Gourmand,"Dine-in,Takeaway,Delivery,Coffee,NFC payments","Biryani is the standout dish in this place specialising in North Indian food. The lamb shank biryani is recommended for its fork-tender texture and meaty flavour. Haleem, mutton nihari and aloo gobi are also good choices.",B,1,28,4.11,good,0.6981,excellent,0.5674,good,0.8729,3.57,4.11,3.71,True
Bistro Gaston,ChIJ7agS6l8Z2jERr8aASVBKXtw,"25 Keong Saik Road, 089132, Singapore",Singapore,Central,2.0,French,103.8414273,1.2798386,6909 8120,https://guide.michelin.com/en/singapore-region/singapore/restaurant/gaston,https://www.bistrogaston.sg,Selected Restaurants,"Dine-in,Takeaway,Reservations,Outdoor seating,Beer,Wine,Cocktails,Coffee,Credit cards,NFC payments","This relaxing, inviting bistro serves classic French fare that impresses with its mindful preparation, solid skills and exceptional quality. A Burgundian himself, the friendly owner fashions a menu that captures the best-known recipes of his home region, including oeuf en meurette, beef bourguignon and pôchouse, alongside classic sweets such as profiteroles and Paris-Brest. The well-curated wine list covers a wide selection of Burgundian labels.",A,0,23,4.61,good,0.7295,excellent,0.7763,good,0.9893,3.83,4.52,3.91,True
Boon Tong Kee (Balestier Road),ChIJ7wTBRt8Z2jERQO-YNjVAXyI,"399, 401, 403 Balestier Road, 329801, Singapore",Singapore,Central,1.0,Chinese,103.8495,1.3255796,6254 3937,https://guide.michelin.com/en/singapore-region/singapore/restaurant/boon-tong-kee-balestier-road,https://boontongkee.com.sg/,Bib Gourmand,"Dine-in,Takeaway,Delivery,Reservations,Outdoor seating,Beer,Coffee,Credit cards,NFC payments","You won’t have any trouble finding this enduringly popular restaurant – its colourful neon sign will guide you in from afar. The group may have expanded over the years but this is the original branch, opened in 1983. Their signature boiled chicken, which boosts succulent and tender meat, is still the biggest draw and comes in three different sizes, but those looking for a full zi char feast won’t be disappointed. Avoid peak times if you’re not prepared to queue.",A,0,18,3.44,good,0.6959,excellent,0.4154,good,0.7327,3.0,3.56,3.56,True
Boon Tong Kee Kway Chap,ChIJDcuaEYMZ2jERI9lM6fTySWM,"Zion Riverside Food Centre, #024, 70 Zion Road, 247792, Singapore",Singapore,Central,1.0,Street Food,103.8311181,1.2924249,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/boon-tong-kee-kway-chap%E2%80%A7braised-duck,"https://www.google.com/maps/place/Boon+Tong+Kee+Kway+Chap/@1.2924157,103.8313295,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1983119acb0d:0x6349f2f4e94cd923!8m2!3d1.2924157!4d103.8313295!16s%2Fg%2F1tcwj230?entry=tts&g_ep=EgoyMDI2MDMxOC4xIPu8ASoASAFQAw%3D%3D&skid=f879162d-2ac9-4f07-8c94-7727c158e7cd",Selected Restaurants,"Dine-in,Takeaway,Outdoor seating,Wheelchair accessible","Boon Tong Kee prides itself on its spiced soy marinade made with aromatic Chinese herbs. With its springy skin and tasty meat, the signature braised duck is a hit. The braised pork trotter and taro rice are also popular.",A,0,29,3.9,good,0.6412,excellent,0.5187,good,0.8016,3.28,3.59,3.72,True
Brasserie Astoria Singapore,ChIJz467uSEZ2jERd6bgM7zCILo,"Victoria Concert Hall, #01-01, 11 Empress Place, 179558, Singapore",Singapore,Central,2.0,European,103.85171,1.28801,9619 1567,https://guide.michelin.com/en/singapore-region/singapore/restaurant/brasserie-astoria-1209987,https://www.brasserieastoria.sg/,Selected Restaurants,"Dine-in,Takeaway,Reservations,Beer,Wine,Cocktails,Coffee,Credit cards,NFC payments","An outpost of its namesake in Stockholm, this is the brainchild of the Swedish owner-chef Björn Frantzén. Nestled in the historical Victoria Concert Hall (1800s), its retro glamour complements the chef's new spin on brasserie classics, some with trolley or tableside service. Try the råraka, a Swedish potato cake topped with vendace roe, crème fraîche, chives and red onion. Toast Astoria with prawn, king crab and wasabi aioli is also unmissable.",A,0,25,4.36,good,0.703,excellent,0.8261,good,0.8509,3.68,4.32,3.88,True
Buko Nero,ChIJ5cofIm0Z2jERz8SqoZropF0,"126 Tanjong Pagar Road, 088534, Singapore",Singapore,Central,2.0,Italian,103.84357,1.277667,6324 6225,https://guide.michelin.com/en/singapore-region/singapore/restaurant/buko-nero,https://www.bukonero.com.sg/,Selected Restaurants,"Dine-in,Takeaway,Reservations,Wine,Cocktails,Coffee,Credit cards,NFC payments,Wheelchair accessible","Diners flock to this small neighbourhood joint and it’s easy to understand why: the bubbly, charming hostess works seamlessly with her husband chef from Veneto, who in turn delivers simple, delicious Italian fare with subtle Asian twists. Try his tau kwa tower – an appetising mix of sautéed Italian-style greens and Singaporean dried tofu salad in a tangy Asian dressing. Hand-made pasta is another highlight, as are the weekly specials.",A,0,29,4.69,good,0.7367,excellent,0.7886,good,0.9004,3.69,4.62,4.03,True
